Host,Host_agg
Homo sapiens,human
Vicugna pacos,Alpaca
Kobus ellipsiprymnus,Antelope
Oryx leucoryx,Antelope
Tragelaphus strepsiceros,Antelope
Gorilla gorilla,Ape
Gorilla gorilla gorilla,Ape
Pan paniscus,Ape
Pan troglodytes,Ape
Pan troglodytes schweinfurthii,Ape
Pan troglodytes troglodytes,Ape
Pongo pygmaeus pygmaeus,Ape
Gorilla beringei beringei,Ape
Mesosphaerum pectinatum,Bacteria
Meles meles,Badger
Mellivora capensis,Badger
Melogale,Badger
Melogale moschata,Badger
Mephitidae,Badger
Mephitis mephitis,Badger
Chiroptera,Bat
Eidolon helvum,Bat
Eptesicus regulus,Bat
Miniopterus schreibersii,Bat
Myotis ricketti,Bat
Rhinolophidae,Bat
Rhinolophus ferrumequinum,Bat
Rousettus aegyptiacus,Bat
Tadarida brasiliensis,Bat
Chaerephon plicatus,Bat
Cynopterus brachyotis,Bat
Dasypterus intermedius,Bat
Dasypterus xanthinus,Bat
Desmodus rotundus,Bat
Eonycteris spelaea,Bat
Epomophorus wahlbergi,Bat
Epomops,Bat
Eptesicus furinalis,Bat
Eptesicus fuscus,Bat
Eptesicus isabellinus,Bat
Eptesicus serotinus,Bat
Hipposideros armiger,Bat
Hipposideros caffer,Bat
Hipposideros cineraceus,Bat
Hipposideros larvatus,Bat
Hipposideros pomona,Bat
Hipposideros pratti,Bat
Hypsugo pulveratus,Bat
Hypsugo savii,Bat
Laephotis capensis,Bat
Lasionycteris noctivagans,Bat
Lasiurus borealis,Bat
Lasiurus seminolus,Bat
Macronycteris commersoni,Bat
Macronycteris vittatus,Bat
Miniopterus,Bat
Miniopterus natalensis,Bat
Miniopterus pusillus,Bat
Mops condylurus,Bat
Mops pumilus,Bat
Murina cyclotis,Bat
Murina leucogaster,Bat
Myotis adversus,Bat
Myotis altarium,Bat
Myotis austroriparius,Bat
Myotis brandtii,Bat
Myotis capaccinii,Bat
Myotis dasycneme,Bat
Myotis daubentonii,Bat
Myotis davidii,Bat
Myotis laniger,Bat
Myotis muricola,Bat
Myotis nattereri,Bat
Myotis nigricans,Bat
Myotis siligorensis,Bat
Myotis yumanensis,Bat
Nyctalus plancyi,Bat
Nyctinomops laticaudatus,Bat
Otomops martiensseni,Bat
Parastrellus hesperus,Bat
Perimyotis subflavus,Bat
Pipistrellus,Bat
Pipistrellus abramus,Bat
Pipistrellus kuhlii,Bat
Pipistrellus nathusii,Bat
Pipistrellus pipistrellus,Bat
Pipistrellus pygmaeus,Bat
Pteropodidae,Bat
Pteropus,Bat
Pteropus alecto,Bat
Pteropus giganteus,Bat
Pteropus scapulatus,Bat
Rhinolophus,Bat
Rhinolophus affinis,Bat
Rhinolophus blythi,Bat
Rhinolophus cornutus,Bat
Rhinolophus eloquens,Bat
Rhinolophus macrotis,Bat
Rhinolophus malayanus,Bat
Rhinolophus marshalli,Bat
Rhinolophus pearsonii,Bat
Rhinolophus pusillus,Bat
Rhinolophus siamensis,Bat
Rhinolophus sinicus,Bat
Rhinolophus stheno,Bat
Rousettus leschenaultii,Bat
Rousettus sp.,Bat
Scotophilus heathii,Bat
Scotophilus kuhlii,Bat
Stenodermatinae,Bat
Tylonycteris pachypus,Bat
Tylonycteris robustula,Bat
Vespertilio sinensis,Bat
Melursus ursinus,Bear
Ursus americanus,Bear
Ursus thibetanus laniger,Bear
Martes foina,Beech Marten
Anas platyrhynchos,Birds
Columba livia,Birds
Fratercula arctica,Birds
Fulmarus glacialis,Birds
Gallus gallus,Birds
Larus smithsonianus,Birds
Luscinia svecica,Birds
Psittacus erithacus,Birds
Pygoscelis adeliae,Birds
Rissa tridactyla,Birds
Serinus canaria,Birds
Aythya affinis,Birds
Aythya ferina,Birds
Branta canadensis,Birds
Bubo scandiacus,Birds
Bubulcus ibis,Birds
Cairina moschata,Birds
Calidris fuscicollis,Birds
Calidris ruficollis,Birds
Charadriiformes,Birds
Chroicocephalus genei,Birds
Chroicocephalus ridibundus,Birds
Ciconia nigra,Birds
Columba,Birds
Columbidae,Birds
Corythornis cristatus,Birds
Coturnix japonica,Birds
Curruca curruca,Birds
Cygnus olor,Birds
Eos bornea,Birds
Eurillas virens,Birds
Falco peregrinus,Birds
Fratercula corniculata,Birds
Fringilla montifringilla,Birds
Fringillidae,Birds
Fulica atra,Birds
Galliformes,Birds
Gallus,Birds
Gallus sp.,Birds
Grus nigricollis,Birds
Himantopus himantopus,Birds
Hirundo rustica,Birds
Hydrocoloeus minutus,Birds
Laridae,Birds
Larus argentatus,Birds
Larus crassirostris,Birds
Larus dominicanus,Birds
Larus marinus,Birds
Larus schistisagus,Birds
Leucophaeus pipixcan,Birds
Lophura erythrophthalma,Birds
Lophura nycthemera,Birds
Mareca,Birds
Mareca americana,Birds
Mareca falcata,Birds
Mareca penelope,Birds
Mareca strepera,Birds
Meleagris gallopavo,Birds
Myiopsitta monachus,Birds
Myrmoderus ferrugineus,Birds
Netta rufina,Birds
Numenius arquata,Birds
Numididae,Birds
Numididae sp.,Birds
Oceanodroma homochroa,Birds
Otis tarda,Birds
Oxyura jamaicensis,Birds
Passeridae,Birds
Pavo,Birds
Pavo cristatus,Birds
Phalacrocoracidae,Birds
Phaseolus vulgaris,Birds
Phasianinae,Birds
Phasianus colchicus,Birds
Ploceus melanocephalus,Birds
Ploceus vitellinus,Birds
Pluvialis squatarola,Birds
Pseudopodoces humilis,Birds
Psittacidae,Birds
Psittaciformes,Birds
Rallus aquaticus,Birds
Riparia paludicola,Birds
Sibirionetta formosa,Birds
Spatula clypeata,Birds
Spatula discors,Birds
Spatula querquedula,Birds
Spilopelia chinensis,Birds
Sternula albifrons,Birds
Streptopelia decaocto,Birds
Struthio camelus,Birds
Tadorna,Birds
Tadorna tadorna,Birds
Threskiornithidae,Birds
Turdus merula,Birds
Uria aalge,Birds
Zosteropidae,Birds
Bovidae,Bovids
Bubalus bubalis,Buffalo
Syncerus caffer,Buffalo
Boselaphus tragocamelus,Bull
Camelus dromedarius,Camel
Camelus,Camel
Camelus bactrianus,Camel
Canidae,Canidae
Canis,Canidae
Felis catus,Cat 
Bos ,Cattle
Bos taurus,Cattle
Cetacea,Cetacea
Pan troglodytes verus,Chimpanzee
Axis axis,Chital
Civettictis civetta,Civet
Paradoxurus hermaphroditus,Civets
Paradoxurus zeylonensis,Civets
Spilogale,Civets
Spilogale putorius,Civets
Viverridae,Civets
Puma concolor,Cougar
Canis latrans,Coyote
Crustacea,Crustacea
Capreolus capreolus,Deer
Cervus,Deer
Cervus elaphus,Deer
Rangifer tarandus,Deer
Cervidae,Deer
Cervus nippon,Deer
Dama dama,Deer
Hydropotes inermis,Deer
Odocoileus virginianus,Deer
Rusa unicolor,Deer
Canis lupus familiaris,Dog
Cerdocyon thous,Dog
Sousa chinensis,Dolphin
Tursiops truncatus,Dolphin
Lagenorhynchus albirostris,Dolphin
Equus asinus,Donkey
Feliformia,Feliformia
Mustela putorius furo,Ferret
Astyanax mexicanus,Fish
Carassius auratus x Cyprinus carpio,Fish
Coryphaenoides rupestris,Fish
Gadus morhua,Fish
Silurus glanis,Fish
Sparus aurata,Fish
Trematomus bernacchii,Fish
Xiphophorus birchmanni,Fish
Carassius auratus,Fish
Channidae,Fish
Chanodichthys erythropterus,Fish
Clupea harengus,Fish
Clupea pallasii,Fish
Ctenopharyngodon idella,Fish
Cyprinus carpio,Fish
Cyprinus carpio nudus,Fish
Dorosoma cepedianum,Fish
Esox lucius,Fish
Fundulus heteroclitus heteroclitus,Fish
Hoplichthys,Fish
Kareius bicoloratus,Fish
Lepomis macrochirus,Fish
Limanda limanda,Fish
Merlangius merlangus,Fish
Micropterus salmoides,Fish
Monopterus albus,Fish
Morone chrysops,Fish
Neogobius melanostomus,Fish
Oncorhynchus kisutch,Fish
Oncorhynchus mykiss,Fish
Oncorhynchus tshawytscha,Fish
Paralichthys olivaceus,Fish
Perca fluviatilis,Fish
Percidae,Fish
Phocoena phocoena,Fish
Platichthys flesus,Fish
Pleuronectes platessa,Fish
Salmo carpio,Fish
Salmo salar,Fish
Salmo trutta,Fish
Salmo trutta fario,Fish
Salmoninae,Fish
Salvelinus fontinalis,Fish
Sander lucioperca,Fish
Sardinops sagax,Fish
Scoliodon macrorhynchos,Fish
Scophthalmus maximus,Fish
Siniperca chuatsi,Fish
Sprattus sprattus sprattus,Fish
Synodus macrops,Fish
Tinca tinca,Fish
Trachinotus ovatus,Fish
Channa argus,Fish 
